instance_id	category	repo	difficulty	patch_lines	ornith_full	ornith_lite	qwen36	in_lite100
django__django-16256	hard	django/django	15 min - 1 hour	55	0	0	0	1
sympy__sympy-16597	hard	sympy/sympy	1-4 hours	70	0	0	0	1
sphinx-doc__sphinx-7748	hard	sphinx-doc/sphinx	15 min - 1 hour	90	0	0	0	1
astropy__astropy-8707	hard	astropy/astropy	15 min - 1 hour	75	0	0	0	1
matplotlib__matplotlib-26466	hard	matplotlib/matplotlib	15 min - 1 hour	20	0	0	0	1
pylint-dev__pylint-4551	hard	pylint-dev/pylint	1-4 hours	126	0	0	0	1
psf__requests-1766	hard	psf/requests	<15 min fix	4	0	0	0	1
pydata__xarray-6992	hard	pydata/xarray	>4 hours	123	0	0	0	1
pytest-dev__pytest-5840	hard	pytest-dev/pytest	15 min - 1 hour	27	0	0	0	1
mwaskom__seaborn-3187	hard	mwaskom/seaborn	15 min - 1 hour	12	0	0	0	1
scikit-learn__scikit-learn-12973	hard	scikit-learn/scikit-learn	15 min - 1 hour	10	0	1	1	1
django__django-13212	hard	django/django	1-4 hours	44	0	0	0	1
sympy__sympy-21596	hard	sympy/sympy	15 min - 1 hour	37	0	0	0	1
sphinx-doc__sphinx-7462	hard	sphinx-doc/sphinx	<15 min fix	20	0	0	0	1
astropy__astropy-14369	hard	astropy/astropy	1-4 hours	65	0	0	0	1
astropy__astropy-13579	high	astropy/astropy	1-4 hours	4	1	1	1	1
django__django-11066	high	django/django	<15 min fix	2	1	1	1	1
django__django-11119	high	django/django	<15 min fix	2	1	1	1	1
django__django-11880	high	django/django	<15 min fix	1	1	1	1	1
django__django-12304	high	django/django	<15 min fix	1	1	1	1	1
django__django-13028	high	django/django	15 min - 1 hour	5	1	1	1	1
django__django-13410	high	django/django	<15 min fix	11	1	1	1	1
django__django-13417	high	django/django	<15 min fix	7	1	1	1	1
django__django-13658	high	django/django	15 min - 1 hour	7	1	1	1	1
django__django-13821	high	django/django	<15 min fix	6	1	1	1	1
django__django-14608	high	django/django	<15 min fix	7	1	1	1	1
django__django-15380	high	django/django	<15 min fix	2	1	1	1	1
django__django-15525	high	django/django	15 min - 1 hour	4	1	1	1	1
django__django-15569	high	django/django	<15 min fix	1	1	1	1	1
django__django-15572	high	django/django	<15 min fix	4	1	1	1	1
django__django-15731	high	django/django	15 min - 1 hour	4	1	1	1	1
django__django-16493	high	django/django	15 min - 1 hour	5	1	1	1	1
matplotlib__matplotlib-22719	high	matplotlib/matplotlib	<15 min fix	4	1	1	1	1
matplotlib__matplotlib-24177	high	matplotlib/matplotlib	<15 min fix	2	1	1	1	1
matplotlib__matplotlib-24570	high	matplotlib/matplotlib	<15 min fix	4	1	1	1	1
pydata__xarray-4075	high	pydata/xarray	<15 min fix	9	1	1	1	1
pytest-dev__pytest-8399	high	pytest-dev/pytest	15 min - 1 hour	10	1	1	1	1
scikit-learn__scikit-learn-10844	high	scikit-learn/scikit-learn	15 min - 1 hour	5	1	1	1	1
scikit-learn__scikit-learn-13328	high	scikit-learn/scikit-learn	<15 min fix	3	1	1	1	1
sphinx-doc__sphinx-10466	high	sphinx-doc/sphinx	15 min - 1 hour	3	1	1	1	1
sphinx-doc__sphinx-11445	high	sphinx-doc/sphinx	15 min - 1 hour	14	1	1	1	1
sympy__sympy-12419	high	sympy/sympy	15 min - 1 hour	10	1	1	1	1
sympy__sympy-13757	high	sympy/sympy	15 min - 1 hour	1	1	1	1	1
sympy__sympy-15809	high	sympy/sympy	<15 min fix	2	1	1	1	1
sympy__sympy-24539	high	sympy/sympy	<15 min fix	9	1	1	1	1
django__django-15814	high	django/django	15 min - 1 hour	1	1		1	0
sympy__sympy-13647	high	sympy/sympy	15 min - 1 hour	2	1		1	0
scikit-learn__scikit-learn-11578	high	scikit-learn/scikit-learn	15 min - 1 hour	2	1		1	0
matplotlib__matplotlib-23314	high	matplotlib/matplotlib	15 min - 1 hour	2	1		1	0
sphinx-doc__sphinx-8551	high	sphinx-doc/sphinx	15 min - 1 hour	3	1		1	0
pydata__xarray-3677	high	pydata/xarray	15 min - 1 hour	1	1		1	0
astropy__astropy-12907	high	astropy/astropy	15 min - 1 hour	2	1		1	0
pytest-dev__pytest-7571	high	pytest-dev/pytest	15 min - 1 hour	4	1		1	0
psf__requests-2931	high	psf/requests	15 min - 1 hour	5	1		1	0
pallets__flask-5014	high	pallets/flask	<15 min fix	3	1		1	0
pylint-dev__pylint-6903	high	pylint-dev/pylint	<15 min fix	7	1		1	0
django__django-16082	high	django/django	15 min - 1 hour	1	1		1	0
sympy__sympy-15349	high	sympy/sympy	15 min - 1 hour	2	1		1	0
scikit-learn__scikit-learn-14053	high	scikit-learn/scikit-learn	15 min - 1 hour	3	1		1	0
matplotlib__matplotlib-24637	high	matplotlib/matplotlib	15 min - 1 hour	2	1		1	0
django__django-11179	easy	django/django	<15 min fix	1	1		1	0
sympy__sympy-12096	easy	sympy/sympy	<15 min fix	2	1		1	0
scikit-learn__scikit-learn-14141	easy	scikit-learn/scikit-learn	<15 min fix	1	1		1	0
sphinx-doc__sphinx-8459	easy	sphinx-doc/sphinx	<15 min fix	2	1		1	0
matplotlib__matplotlib-13989	easy	matplotlib/matplotlib	<15 min fix	2	1		1	0
